0.227,0.503,-0.253,2.378,0.897,0.707,2.087,-0.032,-1.064,1.562,1.451,3.383,-0.303,3.524,0.851,4.367,2.844,0.135,0.743,0.732,1.000
-0.201,0.428,-1.240,0.722,-3.509,-0.973,-2.048,1.858,0.261,-1.712,1.739,-0.019,0.913,-0.354,-2.677,-1.138,-0.813,0.489,-0.226,-0.182,1.000
2.995,0.589,1.256,1.120,0.346,0.731,1.426,-0.142,0.581,2.388,0.280,2.050,-0.176,0.584,0.188,0.095,0.174,-0.289,2.457,1.144,0.000
0.563,1.927,0.964,0.310,0.884,2.080,-2.267,1.125,1.925,-2.504,-1.233,-0.730,-1.931,0.769,0.171,1.042,-0.235,-0.245,-2.421,-0.820,1.000
1.568,-1.446,1.184,-0.708,-0.065,-0.542,-0.612,-0.454,-0.403,-1.997,-0.694,-0.075,-0.116,1.789,-0.253,-0.457,-1.687,0.246,0.019,-1.431,1.000
1.546,0.179,1.020,0.775,1.427,2.421,-0.764,0.316,-0.141,-0.591,-0.573,2.132,-0.926,2.603,0.901,-0.365,0.296,0.661,0.848,-0.084,0.000
3.098,1.420,-0.039,2.158,-0.213,1.495,1.960,2.150,1.598,2.161,1.013,3.454,0.632,2.894,-0.294,2.598,1.303,1.879,1.860,-0.435,1.000
0.286,1.365,0.607,-0.362,-0.479,-0.398,1.175,1.307,-0.219,-0.479,-2.251,0.827,-1.454,1.831,1.125,-0.848,-1.303,-0.443,0.377,0.701,0.000
-0.696,0.816,0.077,0.374,1.311,1.569,0.324,2.400,-0.633,2.009,-0.241,3.460,2.777,1.084,0.532,0.444,3.433,-0.691,-0.108,-1.329,1.000
1.293,-0.237,-1.000,1.960,-0.112,0.041,-0.507,0.771,-0.579,1.192,-1.398,0.959,-0.848,0.780,-1.372,1.087,1.278,0.457,-0.648,-0.246,1.000
0.283,1.330,-0.800,0.948,-0.992,-1.878,-0.321,0.211,0.350,1.935,-1.153,0.705,-1.548,-0.593,-0.445,-1.186,0.702,0.811,0.743,-1.187,1.000
-1.441,-3.234,-0.181,-0.100,0.889,1.237,-0.911,-1.603,-2.226,-2.147,-0.561,0.159,0.411,0.693,-1.505,-0.856,0.318,-0.307,-2.616,-2.921,0.000
2.305,1.130,0.003,1.535,1.776,-0.862,0.279,1.453,0.865,2.320,-0.155,0.548,-1.354,3.122,1.973,1.847,0.774,0.084,0.811,1.456,1.000
0.547,0.038,-1.111,-0.244,0.607,-0.954,-0.936,0.682,0.120,1.576,0.605,-0.204,0.673,2.221,-3.141,0.845,0.028,-1.210,-0.608,1.825,0.000
-1.567,-1.910,-2.844,-1.610,-1.706,-2.132,-1.636,-2.587,-1.434,-2.733,-0.946,-2.299,-2.059,-2.114,-0.488,-2.127,-1.492,-1.170,-2.199,-0.583,1.000
-1.067,-0.326,-1.433,-0.282,0.558,-0.824,-0.858,1.685,0.436,0.709,3.216,0.412,0.458,2.660,-0.644,2.186,1.483,0.452,-0.861,0.850,1.000
0.105,1.362,-0.076,0.526,0.301,0.801,2.698,0.002,3.327,0.153,1.017,0.722,0.765,1.943,0.150,1.369,0.923,0.675,0.106,1.274,0.000
0.581,1.371,-0.823,-0.568,-0.505,-1.467,-0.513,1.806,-0.107,2.133,2.484,0.166,0.623,0.179,0.556,1.221,-0.209,1.224,2.687,3.305,1.000
-0.141,0.692,0.584,0.113,0.835,-0.323,1.783,-1.311,1.606,2.067,0.715,-0.086,1.242,0.264,0.577,0.540,0.618,-0.621,-0.018,-0.182,1.000
0.903,1.466,0.492,0.855,0.599,2.629,-0.264,1.619,1.704,2.248,-0.239,1.990,2.181,1.339,-0.871,0.555,0.661,1.662,0.501,1.973,1.000
0.411,0.798,0.033,-1.444,-0.088,-0.444,-0.537,-1.296,1.599,2.677,1.716,1.707,0.434,0.474,-0.420,0.115,0.379,-0.730,-0.023,-1.461,1.000
0.262,3.399,0.672,0.393,-0.815,1.073,0.266,0.914,1.161,0.997,-1.009,0.754,0.114,0.177,0.702,-0.391,0.033,-0.102,0.527,1.168,1.000
1.722,3.181,1.411,-1.362,1.014,1.087,1.303,0.539,2.509,0.693,-0.159,0.000,3.264,1.727,0.387,1.512,0.002,0.493,0.102,0.639,1.000
-0.048,0.757,-0.852,1.322,0.861,0.323,-0.052,-0.629,1.979,1.478,2.296,1.367,-0.433,2.564,1.458,-0.048,0.781,0.861,1.665,-0.803,1.000
0.261,-1.157,1.251,-0.695,2.222,-0.956,-1.538,0.050,0.722,0.558,0.029,-0.506,-1.002,-0.016,2.578,-0.851,-0.875,-0.882,1.501,-0.411,0.000
1.672,-0.324,-0.036,1.546,1.149,1.449,1.861,-1.597,0.550,2.863,0.694,2.290,1.805,1.431,1.378,1.872,2.043,0.201,0.647,0.018,1.000
0.552,2.320,0.816,0.771,0.424,0.637,3.037,0.502,1.457,1.617,0.272,0.919,1.304,2.323,0.135,0.925,0.413,1.405,-0.099,1.102,1.000
1.207,-0.113,0.004,-1.249,1.278,-0.202,-0.476,0.296,-0.109,-0.348,1.205,2.282,0.706,3.472,0.478,-0.500,0.047,0.772,2.193,-0.168,1.000
0.682,-0.033,-0.490,-0.050,0.307,-0.117,-0.850,1.950,0.390,-2.578,-0.858,0.131,-1.843,2.178,1.025,0.226,-0.459,0.505,0.659,1.054,0.000
-1.371,-0.650,-3.240,-0.637,0.590,-0.968,-1.134,-0.524,-1.936,0.556,-1.709,0.240,-2.500,0.956,-0.569,0.743,-0.436,0.392,-1.346,-1.524,1.000
1.016,-0.760,2.238,-0.110,-1.598,-0.377,1.297,1.115,0.714,-2.550,0.977,-0.217,1.752,0.962,0.122,0.399,-1.398,0.156,0.203,1.442,0.000
2.451,-0.621,1.677,-1.287,1.511,0.371,-0.355,-1.652,0.050,-0.899,0.484,-0.074,-0.247,0.481,1.229,2.239,-0.315,-0.430,-0.082,-1.689,1.000
2.665,1.096,-0.200,1.856,0.036,0.169,1.546,0.630,1.926,1.980,2.753,3.354,0.062,3.191,1.362,1.574,1.983,0.277,3.226,2.032,1.000
2.144,3.033,1.030,0.182,0.228,0.050,0.714,1.175,2.390,1.977,0.023,0.534,0.090,-0.070,-2.118,2.045,0.845,-0.262,0.586,-0.465,0.000
